"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "Ruby", "Markdown", "YAML", "Makefile", "C++", "C", "Java", "HTML", "Properties", "Shell Script", "Python", "XML", "Perl", "JSON with Comments", "JavaScript", "Gradle", "Batch", "Java Properties", "Kotlin", "comment", "blank", "total"
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/kernel.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/kernel/concern.rb", "Ruby", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/kernel/reporting.rb", "Ruby", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 6, 46
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/kernel/singleton_class.rb", "Ruby", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/load_error.rb", "Ruby", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 10
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/marshal.rb", "Ruby", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module.rb", "Ruby", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/aliasing.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 32
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/anonymous.rb", "Ruby", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 2, 31
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/attr_internal.rb", "Ruby", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 39
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/attribute_accessors.rb", "Ruby", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 13, 207
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/attribute_accessors_per_thread.rb", "Ruby", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 10, 149
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/concerning.rb", "Ruby", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 4, 141
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/delegation.rb", "Ruby", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 19, 331
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/deprecation.rb", "Ruby", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 26
"/Users/tashviksrivastava/Desktop/tashvik-oms/public/vendor/bundle/ruby/2.6.0/gems/activesupport-6.1.7.8/lib/active_support/core_ext/module/introspection.rb", "Ruby", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 64
